TimeStamp,PositionAfterStep,StepTime,SpeedAfterMove,DistanceAfterStep,StepNumber,AxisName
243.3105012119290000,14.8,0.001649581740038,121.655250605964,14.8,74,Y
244.9489742783180000,15,0.001638473066389,122.474487139159,15,75,Y
246.5765601187590000,15.2,0.001627585840441,123.28828005938,15.2,76,Y
248.1934729198170000,15.4,0.001616912801058,124.096736459909,15.4,77,Y
249.7999199359360000,15.6,0.001606447016119,124.899959967968,15.6,78,Y
251.3961017995310000,15.8,0.001596181863595,125.698050899765,15.8,79,Y
252.9822128134700000,16,0.001586111013939,126.491106406735,16,80,Y
254.5584412271570000,16.2,0.001576228413687,127.279220613579,16.2,81,Y
256.1249694973140000,16.4,0.001566528270157,128.062484748657,16.4,82,Y
257.6819745345030000,16.6,0.001557005037189,128.840987267251,16.6,83,Y
259.2296279363140000,16.8,0.001547653401811,129.614813968157,16.8,84,Y
260.7680962081060000,17,0.001538468271792,130.384048104053,17,85,Y
262.2975409720800000,17.2,0.001529444763974,131.14877048604,17.2,86,Y
263.8181191654580000,17.4,0.001520578193378,131.909059582729,17.4,87,Y
265.3299832284320000,17.6,0.001511864062974,132.664991614216,17.6,88,Y
266.8332812825270000,17.8,0.001503298054095,133.416640641263,17.8,89,Y
268.3281572999750000,18,0.001494876017448,134.164078649987,18,90,Y
269.8147512646410000,18.2,0.001486593964666,134.90737563232,18.2,91,Y
271.2931993250110000,18.4,0.001478448060370,135.646599662505,18.4,92,Y
272.7636339397170000,18.6,0.001470434614706,136.381816969859,18.6,93,Y
274.2261840160420000,18.8,0.001462550076325,137.113092008021,18.8,94,Y
275.6809750418040000,19,0.001454791025762,137.840487520902,19,95,Y
277.1281292110200000,19.2,0.001447154169216,138.56406460551,19.2,96,Y
278.5677655436820000,19.4,0.001439636332662,139.283882771841,19.4,97,Y
280.0000000000000000,19.6,0.001432234456318,140,19.6,98,Y
281.4249455894060000,19.8,0.001424945589406,140.712472794703,19.8,99,Y
282.8427124746190000,20,0.001417766885213,141.42135623731,20,100,Y
284.2534080710380000,20.2,0.001410695596419,142.126704035519,20.2,101,Y
285.6571371417140000,20.4,0.001403729070676,142.828568570857,20.4,102,Y
287.0540018881460000,20.6,0.001396864746432,143.527000944073,20.6,103,Y
288.4441020371190000,20.8,0.001390100148973,144.22205101856,20.8,104,Y
289.8275349237890000,21,0.001383432886670,144.913767461894,21,105,Y
291.2043955712210000,21.2,0.001376860647432,145.60219778561,21.2,106,Y
292.5747767665560000,21.4,0.001370381195335,146.287388383278,21.4,107,Y
293.9387691339810000,21.6,0.001363992367425,146.969384566991,21.6,108,Y
295.2964612046680000,21.8,0.001357692070687,147.648230602334,21.8,109,Y
296.6479394838260000,22,0.001351478279158,148.323969741913,22,110,Y
297.9932885150270000,22.2,0.001345349031201,148.996644257513,22.2,111,Y
299.3325909419150000,22.4,0.001339302426888,149.666295470958,22.4,112,Y
300.6659275674580000,22.6,0.001333336625543,150.332963783729,22.6,113,Y
301.9933774108300000,22.8,0.001327449843372,150.996688705415,22.8,114,Y
